Open Datetime,Close Datetime,Symbol,Side,Volume,Exec Count,Entry Price,Exit Price,Gross P&L,Gross P&L (%),Shared,Notes,Tags,Gross P&L (t),Position MFE,Position MAE,Price MFE,Price MAE,Position MFE Datetime,Position MAE Datetime,Price MFE Datetime,Price MAE Datetime
2026-03-20 14:26:06,2026-03-20 14:26:58,ANNA,L,20,2,7.31,7.32,0.1,0.14,false,,"","",0.1,0.0,0.0599,-0.15,2026-03-20 14:26:00,"",2026-03-20 14:26:00,2026-03-20 14:26:00
2026-03-20 14:24:45,2026-03-20 14:25:14,ANNA,L,20,2,7.4,7.35,-0.5,-0.68,false,,"","",0.0,-0.5,0.0,-0.05,"",2026-03-20 14:25:14,2026-03-20 14:24:45,2026-03-20 14:25:14
2026-03-20 14:22:54,2026-03-20 14:23:05,ANNA,L,20,2,7.22,7.24,0.2,0.28,false,,"","",0.2,0.0,0.02,0.0,2026-03-20 14:23:05,"",2026-03-20 14:23:05,2026-03-20 14:22:54
2026-03-20 14:22:38,2026-03-20 14:22:44,ANNA,L,20,2,7.29,7.29,0.0,0.00,false,,"","",0.0,0.0,0.06,-0.1499,"","",2026-03-20 14:22:00,2026-03-20 14:22:00
2026-03-20 14:22:17,2026-03-20 14:22:30,ANNA,L,20,2,7.2,7.29,0.9,1.25,false,,"","",0.9,0.0,0.15,-0.0599,2026-03-20 14:22:00,"",2026-03-20 14:22:00,2026-03-20 14:22:00
2026-03-20 14:21:37,2026-03-20 14:21:51,ANNA,L,20,2,7.18,7.19,0.1,0.14,false,,"","",0.1,0.0,0.0899,-0.2,2026-03-20 14:21:00,"",2026-03-20 14:21:00,2026-03-20 14:21:00
2026-03-20 14:03:10,2026-03-20 14:06:39,ANNA,L,20,2,6.95,6.78,-1.7,-2.45,false,,"","",0.0,-2.4,0.0,-0.24,"",2026-03-20 14:05:00,2026-03-20 14:03:10,2026-03-20 14:05:00
2026-03-20 14:00:40,2026-03-20 14:02:13,ANNA,L,20,2,6.96,6.99,0.3,0.43,false,,"","",0.355,-0.4,0.0355,-0.04,2026-03-20 14:01:00,2026-03-20 14:01:00,2026-03-20 14:01:00,2026-03-20 14:01:00
2026-03-20 13:56:12,2026-03-20 13:57:18,ANNA,L,20,2,6.9,6.92,0.2,0.29,false,,"","",0.2,0.0,0.02,0.0,2026-03-20 13:57:18,"",2026-03-20 13:57:18,2026-03-20 13:56:12
2026-03-20 13:55:03,2026-03-20 13:55:15,ANNA,L,20,2,6.92,6.95,0.3,0.43,false,,"","",0.3,0.0,0.06,-0.11,2026-03-20 13:55:00,"",2026-03-20 13:55:00,2026-03-20 13:55:00
2026-03-20 13:52:33,2026-03-20 13:53:22,ANNA,L,20,2,6.95,6.97,0.2,0.29,false,,"","",0.2,0.0,0.02,0.0,2026-03-20 13:53:22,"",2026-03-20 13:53:22,2026-03-20 13:52:33
2026-03-20 13:51:58,2026-03-20 13:52:08,ANNA,L,20,2,6.94,6.98,0.4,0.58,false,,"","",0.4,0.0,0.04,0.0,2026-03-20 13:52:08,"",2026-03-20 13:52:08,2026-03-20 13:51:58
2026-03-20 13:46:24,2026-03-20 13:50:17,ANNA,L,20,2,6.85,6.87,0.2,0.29,false,,"","",0.2,-1.1,0.02,-0.11,2026-03-20 13:49:00,2026-03-20 13:48:00,2026-03-20 13:49:00,2026-03-20 13:48:00
2026-03-20 13:43:40,2026-03-20 13:45:32,ANNA,L,20,2,6.91,6.93,0.2,0.29,false,,"","",0.2,-1.5,0.02,-0.15,2026-03-20 13:45:32,2026-03-20 13:44:00,2026-03-20 13:45:32,2026-03-20 13:44:00
2026-03-20 13:43:19,2026-03-20 13:43:27,ANNA,L,20,2,6.89,6.95,0.6,0.87,false,,"","",0.6,0.0,0.08,-0.1097,2026-03-20 13:43:00,"",2026-03-20 13:43:00,2026-03-20 13:43:00
2026-03-20 10:18:09,2026-03-20 10:44:09,CURV,L,100,2,1.76,1.67,-4.5,-5.11,false,,"","",0.0,-9.0,0.0,-0.18,"",2026-03-20 10:22:00,2026-03-20 10:18:09,2026-03-20 10:22:00
2026-03-20 10:17:45,2026-03-20 10:18:01,CURV,L,100,2,1.76,1.78,1.0,1.14,false,,"","",1.0,0.0,0.02,0.0,2026-03-20 10:18:01,"",2026-03-20 10:18:01,2026-03-20 10:17:45
2026-03-20 10:17:25,2026-03-20 10:17:32,CURV,L,100,2,1.76,1.77,0.5,0.57,false,,"","",0.5,0.0,0.04,-0.015,2026-03-20 10:17:00,"",2026-03-20 10:17:00,2026-03-20 10:17:00
2026-03-20 10:14:46,2026-03-20 10:16:48,CURV,L,100,2,1.74,1.74,0.0,0.00,false,,"","",0.0,-1.0,0.0,-0.02,"",2026-03-20 10:15:00,2026-03-20 10:14:46,2026-03-20 10:15:00
2026-03-20 09:57:35,2026-03-20 09:58:54,CURV,L,100,2,1.84,1.77,-3.5,-3.80,false,,"","",0.0,-3.5,0.0,-0.07,"",2026-03-20 09:58:54,2026-03-20 09:57:35,2026-03-20 09:58:54
2026-03-20 09:56:07,2026-03-20 09:57:09,CURV,L,100,2,1.84,1.85,0.5,0.54,false,,"","",0.5,0.0,0.01,0.0,2026-03-20 09:57:09,"",2026-03-20 09:57:09,2026-03-20 09:56:07
2026-03-20 09:55:04,2026-03-20 09:55:39,CURV,L,100,2,1.84,1.86,1.0,1.09,false,,"","",1.0,0.0,0.05,-0.01,2026-03-20 09:55:00,"",2026-03-20 09:55:00,2026-03-20 09:55:00
2026-03-20 09:53:28,2026-03-20 09:53:44,CURV,L,100,2,1.82,1.84,1.0,1.10,false,,"","",1.0,0.0,0.06,-0.03,2026-03-20 09:53:00,"",2026-03-20 09:53:00,2026-03-20 09:53:00
2026-03-20 09:50:16,2026-03-20 09:51:59,CURV,L,100,2,1.78,1.72,-3.0,-3.37,false,,"","",0.0,-3.0,0.0,-0.06,"",2026-03-20 09:51:59,2026-03-20 09:50:16,2026-03-20 09:51:59
2026-03-20 09:50:00,2026-03-20 09:50:06,CURV,L,100,2,1.78,1.79,0.5,0.56,false,,"","",0.5,0.0,0.02,-0.0401,2026-03-20 09:50:00,"",2026-03-20 09:50:00,2026-03-20 09:50:00
2026-03-20 09:49:18,2026-03-20 09:49:51,CURV,L,100,2,1.75,1.78,1.5,1.71,false,,"","",1.5,0.0,0.0499,-0.04,2026-03-20 09:49:00,"",2026-03-20 09:49:00,2026-03-20 09:49:00
2026-03-20 09:48:46,2026-03-20 09:49:09,CURV,L,100,2,1.72,1.78,3.0,3.49,false,,"","",3.0,0.0,0.06,0.0,2026-03-20 09:49:09,"",2026-03-20 09:49:09,2026-03-20 09:48:46
2026-03-20 09:46:07,2026-03-20 09:47:28,CURV,L,100,2,1.63,1.65,1.0,1.23,false,,"","",1.0,0.0,0.02,0.0,2026-03-20 09:47:28,"",2026-03-20 09:47:28,2026-03-20 09:46:07
2026-03-20 09:45:01,2026-03-20 09:45:25,CURV,L,100,2,1.6,1.62,1.0,1.25,false,,"","",1.0,0.0,0.05,-0.02,2026-03-20 09:45:00,"",2026-03-20 09:45:00,2026-03-20 09:45:00
2026-03-20 09:42:50,2026-03-20 09:44:53,CURV,L,100,2,1.6,1.62,1.0,1.25,false,,"","",1.0,-0.4,0.02,-0.008,2026-03-20 09:43:00,2026-03-20 09:43:00,2026-03-20 09:43:00,2026-03-20 09:43:00
2026-03-20 09:39:50,2026-03-20 09:40:40,CURV,L,100,2,1.57,1.59,1.0,1.27,false,,"","",1.0,0.0,0.02,0.0,2026-03-20 09:40:40,"",2026-03-20 09:40:40,2026-03-20 09:39:50
2026-03-20 09:36:37,2026-03-20 09:37:28,CURV,L,100,2,1.56,1.58,1.0,1.28,false,,"","",1.0,0.0,0.02,0.0,2026-03-20 09:37:28,"",2026-03-20 09:37:28,2026-03-20 09:36:37
2026-03-20 09:35:57,2026-03-20 09:36:30,CURV,L,100,2,1.57,1.58,0.5,0.64,false,,"","",0.5,0.0,0.01,0.0,2026-03-20 09:36:30,"",2026-03-20 09:36:30,2026-03-20 09:35:57
2026-03-20 09:35:40,2026-03-20 09:35:49,CURV,L,100,2,1.54,1.56,1.0,1.30,false,,"","",1.0,0.0,0.03,-0.09,2026-03-20 09:35:00,"",2026-03-20 09:35:00,2026-03-20 09:35:00
2026-03-20 09:33:31,2026-03-20 09:35:12,CURV,L,100,2,1.47,1.49,1.0,1.36,false,,"","",1.0,-1.055,0.02,-0.0211,2026-03-20 09:35:12,2026-03-20 09:34:00,2026-03-20 09:35:12,2026-03-20 09:34:00
2026-03-18 11:56:11,2026-03-18 12:47:03,MVST,L,100,2,1.82,1.77,-2.5,-2.75,false,,"","",0.0,-3.0,0.0,-0.06,"",2026-03-18 12:43:00,2026-03-18 11:56:11,2026-03-18 12:43:00
2026-03-18 11:42:56,2026-03-18 11:45:21,NN,L,8,2,19.64,19.66,0.08,0.10,false,,"","",0.12,-0.16,0.03,-0.04,2026-03-18 11:44:00,2026-03-18 11:44:00,2026-03-18 11:44:00,2026-03-18 11:44:00
2026-03-18 11:33:38,2026-03-18 11:39:32,NN,L,8,2,19.69,19.7,0.04,0.05,false,,"","",0.1532,-0.94,0.0383,-0.235,2026-03-18 11:34:00,2026-03-18 11:35:00,2026-03-18 11:34:00,2026-03-18 11:35:00
2026-03-18 11:26:39,2026-03-18 11:29:21,NN,L,8,2,19.61,19.56,-0.2,-0.25,false,,"","",0.0,-0.4,0.0,-0.1,"",2026-03-18 11:28:00,2026-03-18 11:26:39,2026-03-18 11:28:00
2026-03-18 11:25:10,2026-03-18 11:25:22,NN,L,8,2,19.59,19.61,0.08,0.10,false,,"","",0.08,0.0,0.0694,-0.04,2026-03-18 11:25:00,"",2026-03-18 11:25:00,2026-03-18 11:25:00
2026-03-18 11:13:19,2026-03-18 11:24:05,DVLT,L,200,2,0.96,0.96,0.0,0.00,false,,"","",0.0,-0.84,0.0,-0.0084,"",2026-03-18 11:19:00,2026-03-18 11:13:19,2026-03-18 11:19:00
2026-03-18 11:06:38,2026-03-18 11:10:22,OVID,L,60,2,2.45,2.45,0.0,0.00,false,,"","",0.3,-0.243,0.01,-0.0081,2026-03-18 11:07:00,2026-03-18 11:09:00,2026-03-18 11:07:00,2026-03-18 11:09:00
2026-03-18 10:50:58,2026-03-18 10:56:10,OVID,L,60,2,2.45,2.46,0.3,0.41,false,"<p>March 18</p><p><br></p><p>Flight Checklist</p><p>1) Watch the stock for at least two minutes</p><p>2) Check the source, is there news?</p><p>3) Check the price volume, must be above</p><p>4) Check maximum spread of a 10 cents (for 1 - 20USD), 2 centrs, very good</p><p>4) Have an exit strategy</p><p>5) Is there a volatility indicator, minimum threshold?</p><p>6) Check the L2</p><p>7) Moving average</p>","","",0.3,-1.05,0.01,-0.035,2026-03-18 10:56:10,2026-03-18 10:52:00,2026-03-18 10:56:10,2026-03-18 10:52:00
2026-03-17 12:07:19,2026-03-17 12:46:22,ISPR,L,80,2,2.24,2.28,1.6,1.79,false,,"","",1.6,-3.8,0.04,-0.095,2026-03-17 12:46:22,2026-03-17 12:36:00,2026-03-17 12:46:22,2026-03-17 12:36:00
2026-03-17 10:21:13,2026-03-17 11:55:20,FLNT,L,40,2,4.11,3.73,-7.6,-9.25,false,,"","",0.0,-9.2,0.0,-0.46,"",2026-03-17 11:21:00,2026-03-17 10:21:13,2026-03-17 11:21:00
2026-03-16 13:29:05,2026-03-16 13:38:44,ORBS,L,100,2,1.2,1.19,-0.5,-0.83,false,,"","",0.0,-1.5,0.0,-0.03,"",2026-03-16 13:30:00,2026-03-16 13:29:05,2026-03-16 13:30:00
2026-03-16 13:25:11,2026-03-16 13:25:55,ORBS,L,100,2,1.16,1.16,0.0,0.00,false,,"","",0.0,0.0,0.005,-0.0099,"","",2026-03-16 13:25:00,2026-03-16 13:25:00
2026-03-16 11:33:10,2026-03-16 11:37:42,ORBS,L,100,2,1.15,1.15,0.0,0.00,false,,"","",0.0,-0.5,0.0,-0.01,"",2026-03-16 11:34:00,2026-03-16 11:33:10,2026-03-16 11:34:00
2026-03-16 11:18:54,2026-03-16 11:19:03,CTMX,L,20,2,7.91,7.92,0.1,0.13,false,,"","",0.1,0.0,0.01,0.0,2026-03-16 11:19:03,"",2026-03-16 11:19:03,2026-03-16 11:18:54
2026-03-16 11:17:38,2026-03-16 11:18:42,CTMX,L,20,2,7.97,7.92,-0.5,-0.63,false,,"","",0.0,-0.5,0.0,-0.05,"",2026-03-16 11:18:42,2026-03-16 11:17:38,2026-03-16 11:18:42
2026-03-16 11:16:28,2026-03-16 11:17:25,CTMX,L,20,2,8.14,8.0,-1.4,-1.72,false,,"","",0.0,-1.4,0.0,-0.14,"",2026-03-16 11:17:25,2026-03-16 11:16:28,2026-03-16 11:17:25
2026-03-16 11:16:07,2026-03-16 11:16:21,CTMX,L,20,2,8.14,8.16,0.2,0.25,false,,"","",0.2,0.0,0.04,-0.2899,2026-03-16 11:16:00,"",2026-03-16 11:16:00,2026-03-16 11:16:00
2026-03-16 11:15:49,2026-03-16 11:15:58,CTMX,L,20,2,8.11,8.14,0.3,0.37,false,,"","",0.3,0.0,0.1,-0.01,2026-03-16 11:15:00,"",2026-03-16 11:15:00,2026-03-16 11:15:00
2026-03-16 11:15:20,2026-03-16 11:15:38,CTMX,L,20,2,8.13,8.16,0.3,0.37,false,,"","",0.3,0.0,0.08,-0.03,2026-03-16 11:15:00,"",2026-03-16 11:15:00,2026-03-16 11:15:00
2026-03-16 11:14:45,2026-03-16 11:14:56,CTMX,L,20,2,8.11,8.13,0.2,0.25,false,,"","",0.2,0.0,0.08,-0.05,2026-03-16 11:14:00,"",2026-03-16 11:14:00,2026-03-16 11:14:00
